nb_proc,msg_size,time
64,6500,0.00096175
16,7000,0.00066147
64,7000,0.00096518
16,7500,0.00066313
64,7500,0.00096862
16,8000,0.00066479
64,8000,0.00097205
16,8500,0.00066648
64,8500,0.00097547
16,9000,0.00066815
64,9000,0.0009789
16,9500,0.00066983
64,9500,0.0009823
16,10000,0.00067148
64,10000,0.00098574
16,10500,0.00067314
64,10500,0.00098919
16,11000,0.00067483
64,11000,0.00099265
16,11500,0.0006765
64,11500,0.00099604
16,12000,0.00067817
64,12000,0.00099948
16,12500,0.00067984
64,12500,0.00100291
16,13000,0.0006815
64,13000,0.00100633
16,13500,0.00068315
64,13500,0.00100976
16,14000,0.00068484
64,14000,0.00101323
16,14500,0.00068651
64,14500,0.00101662
16,15000,0.00068818
64,15000,0.0010201
16,15500,0.00068985
64,15500,0.00102348
16,16000,0.00069152
64,16000,0.00102691
16,16500,0.00196538
64,16500,0.00290814
16,17000,0.00196607
64,17000,0.00290917
16,17500,0.00196674
64,17500,0.00291017
16,18000,0.00196742
64,18000,0.0029112
16,18500,0.0019681
64,18500,0.00291223
16,19000,0.00196878
64,19000,0.00291324
16,19500,0.00196946
64,19500,0.00291425
16,20000,0.00197014
64,20000,0.00291529
16,1000,0.00038421
64,1000,0.0005382
16,1500,0.00043482
64,1500,0.00061511
16,2000,0.00043643
64,2000,0.0006185
16,2500,0.00050339
64,2500,0.00071962
16,3000,0.00050511
64,3000,0.00072309
16,3500,0.0005068
64,3500,0.00072657
16,4000,0.00065145
64,4000,0.0009446
16,4500,0.00065312
64,4500,0.00094804
16,5000,0.0006548
64,5000,0.00095146
16,5500,0.00065646
64,5500,0.00095489
16,6000,0.00065812
64,6000,0.00095832
16,6500,0.0006598
64,6500,0.00096173
16,7000,0.00066147
64,7000,0.00096522
16,7500,0.00066314
64,7500,0.00096861
16,8000,0.00066481
64,8000,0.00097204
16,8500,0.00066648
64,8500,0.00097548
16,9000,0.00066815
64,9000,0.0009789
16,9500,0.00066981
64,9500,0.00098233
16,10000,0.00067149
64,10000,0.00098576
16,10500,0.00067316
64,10500,0.00098916
16,11000,0.00067483
64,11000,0.00099262
16,11500,0.00067649
64,11500,0.00099605
16,12000,0.00067816
64,12000,0.00099946
16,12500,0.00067984
64,12500,0.00100291
16,13000,0.0006815
64,13000,0.00100634
16,13500,0.00068318
64,13500,0.00100976
16,14000,0.00068485
64,14000,0.00101319
16,14500,0.00068651
64,14500,0.00101662
16,15000,0.00068818
64,15000,0.00102004
16,15500,0.00068985
64,15500,0.00102348
16,16000,0.00069152
64,16000,0.0010269
16,16500,0.00196538
64,16500,0.00290813
16,17000,0.00196606
64,17000,0.00290915
16,17500,0.00196674
64,17500,0.00291017
16,18000,0.00196743
64,18000,0.00291119
16,18500,0.00196809
64,18500,0.0029122
16,19000,0.00196878
64,19000,0.00291327
16,19500,0.00196946
64,19500,0.00291425
16,20000,0.00197014
16,16000,0.00069152
64,16000,0.0010269
16,16010,0.00069154
64,16010,0.00102698
16,16020,0.00069158
64,16020,0.00102705
16,16030,0.00069162
64,16030,0.00102713
16,16040,0.00069164
64,16040,0.00102718
16,16050,0.00069168
64,16050,0.00102724
16,16060,0.00069171
64,16060,0.00102732
16,16070,0.00069174
64,16070,0.00102739
16,16080,0.00069178
64,16080,0.00102745
16,16090,0.0006918
64,16090,0.00102752
16,16100,0.00069184
64,16100,0.00102759
16,16110,0.00069188
64,16110,0.00102767
16,16120,0.00069191
64,16120,0.00102777
16,16130,0.00069195
64,16130,0.0010278
16,16140,0.00069198
64,16140,0.0010279
16,16150,0.00069202
64,16150,0.001028
16,16160,0.00069205
64,16160,0.001028
16,16170,0.00069208
64,16170,0.00102811
16,16180,0.00069211
64,16180,0.00102814
16,16190,0.00069214
64,16190,0.00102822
16,16200,0.00069219
64,16200,0.00102828
16,16210,0.00069221
64,16210,0.00102835
16,16220,0.00069224
64,16220,0.00102841
16,16230,0.00069228
64,16230,0.00102849
16,16240,0.00069232
64,16240,0.00102859
16,16250,0.00069235
64,16250,0.00102861
16,16260,0.00069239
64,16260,0.00102868
16,16270,0.00069242
64,16270,0.00102877
16,16280,0.00069244
64,16280,0.00102883
16,16290,0.00069249
64,16290,0.0010289
16,16300,0.00069253
64,16300,0.00102899
16,16310,0.00069255
64,16310,0.00102903
16,16320,0.00069258
64,16320,0.00102911
16,16330,0.00069261
64,16330,0.00102916
16,16340,0.00069265
64,16340,0.00102926
16,16350,0.00069269
64,16350,0.00102931
16,16360,0.00069271
64,16360,0.00102943
16,16370,0.00199563
64,16370,0.00298474
16,16380,0.00199566
64,16380,0.00298482
16,16390,0.00196522
64,16390,0.00290785
16,16400,0.00196524
64,16400,0.00290788
16,16410,0.00196526
64,16410,0.00290794
16,16420,0.00196527
64,16420,0.00290797
16,16430,0.00196527
64,16430,0.00290801
16,16440,0.0019653
64,16440,0.00290796
16,16450,0.0019653
64,16450,0.00290803
16,16460,0.00196532
64,16460,0.00290811
16,16470,0.00196538
64,16470,0.0029081
16,16480,0.00196535
64,16480,0.00290808
16,16490,0.00196536
64,16490,0.00290815
16,16500,0.00196538
64,16500,0.00290808
16,16000,0.00069151
64,16000,0.0010269
16,16010,0.00069102
64,16010,0.00102697
16,16020,0.00069158
64,16020,0.00102705
16,16030,0.00069162
64,16030,0.00102711
16,16040,0.00069166
64,16040,0.00102717
16,16050,0.00069168
64,16050,0.00102725
16,16060,0.00069172
64,16060,0.00102732
16,16070,0.00069174
64,16070,0.00102739
16,16080,0.00069177
64,16080,0.00102745
16,16090,0.00069182
64,16090,0.00102752
16,16100,0.00069182
64,16100,0.0010276
16,16110,0.00069189
64,16110,0.00102765
16,16120,0.00069191
64,16120,0.00102773
16,16130,0.00069195
64,16130,0.00102779
16,16140,0.00069199
64,16140,0.00102787
16,16150,0.00069201
64,16150,0.00102794
16,16160,0.00069204
64,16160,0.00102802
16,16170,0.00069206
64,16170,0.00102809
16,16180,0.00069212
64,16180,0.00102814
16,16190,0.00069215
64,16190,0.00102822
16,16200,0.00069219
64,16200,0.00102815
16,16210,0.00069219
64,16210,0.00102835
16,16220,0.00069226
64,16220,0.00102842
16,16230,0.00069229
64,16230,0.00102849
16,16240,0.00069232
64,16240,0.00102855
16,16250,0.00069235
64,16250,0.00102865
16,16260,0.00069239
64,16260,0.00102868
16,16270,0.00069242
64,16270,0.00102877
16,16280,0.00069246
64,16280,0.00102883
16,16290,0.00069249
64,16290,0.00102889
16,16300,0.00069251
64,16300,0.00102896
16,16310,0.00069256
64,16310,0.00102909
16,16320,0.00069259
64,16320,0.00102911
16,16330,0.00069262
64,16330,0.00102916
16,16340,0.00069266
64,16340,0.00102924
16,16350,0.00069269
64,16350,0.00102931
16,16360,0.00069272
64,16360,0.0010294
16,16370,0.00199564
64,16370,0.00298475
16,16380,0.00199568
64,16380,0.00298481
16,16390,0.00196522
64,16390,0.00290786
16,16400,0.00196525
64,16400,0.00290788
16,16410,0.00196526
64,16410,0.00290789
16,16420,0.00196525
64,16420,0.00290795
16,16430,0.00196561
64,16430,0.00290794
16,16440,0.00196528
64,16440,0.00290796
16,16450,0.00196531
64,16450,0.00290797
16,16460,0.00196531
64,16460,0.00290806
16,16470,0.00196534
64,16470,0.00290806
16,16480,0.00196535
64,16480,0.00290808
16,16490,0.00196535
64,16490,0.0029081
16,16500,0.00196538
64,16500,0.00290813
16,16000,0.00069152
64,16000,0.00102691
16,16010,0.00069156
64,16010,0.00102698
16,16020,0.00069159
64,16020,0.00102704
16,16030,0.00069162
64,16030,0.00102712
16,16040,0.00069165
64,16040,0.00102718
16,16050,0.00069168
64,16050,0.00102725
16,16060,0.00069173
64,16060,0.00102732
16,16070,0.00069176
64,16070,0.00102738
16,16080,0.00069178
64,16080,0.00102746
16,16090,0.00069181
64,16090,0.00102753
