topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1763,0.54803638,0.28703904
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1762,0.54758894,0.28748718
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4150,0.54817249,0.28691279
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7333,0.54597562,0.28910022
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4243,0.54963101,0.28541537
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2849,0.54748071,0.2875903
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7117,0.5473113,0.28777892
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5232,0.54878387,0.28633728
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5511,0.54935434,0.28577356
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5325,0.54776613,0.28733125
